,0,weight,size
92611,Plissee_20,0.01,67.0
92176,Rollo,0.02,20.0
38731,Plissee_20,0.02,20.0
35082,Rollo,0.03,150.0
81879,Jalousie,0.03,10.0
92178,Rollo,0.03,20.0
78481,Plissee_20,0.03,20.0
78597,Plissee_20,0.04,44.4
92465,Plissee_20,0.04,20.0
88536,Plissee_20,0.04,20.0
77969,Rollo,0.04,20.0
34981,Plissee_20,0.05,94.9
66998,Plissee_20,0.05,20.0
9033,Variorollo,0.05,81.5
32745,Plissee_20,0.05,103.7
30068,Plissee_20,0.05,10.0
59125,Rollo,0.06,8.0
83991,Plissee_20,0.06,20.0
2604,Plissee_20,0.07,10.0
81512,Rollo,0.07,20.0
25674,Rollo,0.07,20.0
80690,Plissee_20,0.08,45.3
79139,Plissee_wa,0.08,20.0
40886,Rollo,0.08,20.0
80034,Rollo,0.08,20.0
14317,Rollo,0.08,20.0
58747,Rollo,0.09,9.0
62146,Rollo,0.09,8.0
77443,Plissee_20,0.09,20.0
80416,Fvorhang,0.1,20.0
27948,Rollo,0.1,20.0
24273,Jalousie,0.1,55.0
83483,Rollo,0.11,20.0
51732,Rollo,0.11,20.0
92612,Plissee_20,0.11,51.0
87233,Rollo,0.11,20.0
70286,Rollo,0.11,20.0
89316,Plissee_20,0.11,20.0
2432,Plissee_wa,0.11,20.0
71649,Rollo,0.12,20.0
52878,Plissee_wa,0.12,20.0
76228,Rollo,0.12,8.0
52649,Rollo,0.12,20.0
17691,Rollo,0.12,20.0
2177,Plissee_20,0.13,20.0
51823,Rollo,0.13,5.0
74501,Plissee_20,0.13,20.0
35056,Rollo,0.14,20.0
84145,Plissee_20,0.14,8.0
85944,Plissee_20,0.14,20.0
21482,Rollo,0.14,20.0
52819,Plissee_20,0.14,59.2
80669,Rollo,0.14,20.0
85894,Plissee_20,0.14,20.0
15565,Fvorhang,0.14,20.0
12469,Lamelle,0.14,10.0
8223,Plissee_20,0.15,20.0
74953,Fvorhang,0.15,20.0
5162,Plissee_20,0.15,10.0
54363,Plissee_wa,0.15,20.0
19204,Plissee_20,0.15,10.0
89257,Rollo,0.16,20.0
53150,Plissee_wa,0.16,20.0
36921,Plissee_20,0.16,10.0
86108,Rollo,0.16,20.0
16984,Plissee_20,0.16,10.0
2946,Rollo,0.16,20.0
46386,Plissee_wa,0.16,22.5
52811,Plissee_20,0.16,59.6
85806,Rollo,0.16,20.0
86162,Plissee_20,0.17,8.0
55370,Rollo,0.17,20.0
50974,Fvorhang,0.17,20.0
21247,Rollo,0.17,20.0
59755,Plissee_20,0.17,20.0
92617,Plissee_wa,0.17,57.6
14471,Plissee_wa,0.17,20.0
7911,Plissee_20,0.18,20.0
15062,Plissee_20,0.18,25.3
58428,Rollo,0.18,176.0
14693,Plissee_20,0.18,20.0
20048,Rollo,0.19,20.0
66997,Plissee_20,0.19,20.0
7909,Plissee_20,0.19,20.0
20049,Rollo,0.19,20.0
47984,Rollo,0.19,20.0
12850,Fvorhang,0.19,30.0
52821,Plissee_20,0.19,32.1
10924,Rollo,0.19,20.0
78787,Rollo,0.2,20.0
49979,Plissee_20,0.2,20.0
17301,Plissee_20,0.2,20.0
4778,Rollo,0.2,20.0
50558,Plissee_20,0.21,99.5
12531,Plissee_20,0.21,59.1
89318,Plissee_20,0.22,20.0
71479,Plissee_20,0.22,97.2
55205,Plissee_20,0.22,100.0
4322,Rollo,0.22,20.0
4325,Pruefung,0.23,20.0
92618,Plissee_20,0.23,65.6
6107,Rollo,0.23,8.0
21981,Plissee_20,0.23,30.0
15494,Plissee_20,0.23,40.0
39005,Plissee_20,0.24,34.8
69286,Jalousie,0.24,212.0
50559,Plissee_20,0.24,110.5
1321,Rollo,0.24,8.0
36183,Plissee_wa,0.25,24.0
50536,Plissee_20,0.25,89.0
52818,Plissee_20,0.25,61.7
82143,Jalousie,0.25,134.0
53759,Rollo,0.25,20.0
23000,Plissee_wa,0.25,50.0
32071,Rollo,0.25,83.5
42300,Plissee_20,0.25,35.0
38595,Plissee_20,0.26,10.0
19777,Plissee_20,0.26,45.7
21695,Plissee_20,0.26,54.4
71257,Lamelle,0.26,20.0
73283,Plissee_20,0.26,30.0
42171,Plissee_20,0.26,10.0
13483,Plissee_20,0.26,22.7
52822,Plissee_20,0.26,66.0
50458,Plissee_20,0.26,83.0
8638,Rollo,0.27,20.0
78791,Fvorhang,0.27,20.0
32125,Rollo,0.28,33.8
68168,Rollo,0.28,8.0
33310,Plissee_20,0.28,17.0
73127,Plissee_20,0.29,83.0
7158,Plissee_20,0.29,46.3
40689,Jalousie,0.29,7.0
29908,Plissee_20,0.29,34.5
15129,Plissee_20,0.29,14.8
90186,Plissee_20,0.29,20.0
1343,Jalousie,0.3,7.0
24385,Rollo,0.3,20.0
66414,Rollo,0.3,20.0
61650,Plissee_20,0.3,20.0
17709,Rollo,0.3,20.0
32030,Plissee_20,0.3,20.5
24384,Lamelle,0.3,174.0
3844,Jalousie,0.3,20.0
30858,Plissee_20,0.3,21.6
27395,Plissee_wa,0.3,54.5
20643,Plissee_20,0.31,26.6
67452,Plissee_20,0.31,15.8
80633,Jalousie,0.31,43.9
8308,Plissee_20,0.31,10.0
76716,Plissee_20,0.31,15.0
50487,Plissee_wa,0.31,34.0
3475,Plissee_wa,0.31,50.0
92613,Plissee_20,0.31,91.2
26388,Plissee_wa,0.31,16.2
87222,Plissee_20,0.31,40.0
7912,Plissee_20,0.32,20.0
18121,Plissee_20,0.32,30.7
50808,Reparatur,0.32,20.0
18781,Plissee_20,0.32,14.7
12497,Fvorhang,0.32,20.0
12502,Rollo,0.32,8.0
37967,Plissee_20,0.32,10.0
21801,Plissee_20,0.32,16.2
71256,Lamellenvo,0.32,20.0
29829,Plissee_20,0.32,42.8
81367,Plissee_20,0.32,14.3
79014,Rollo,0.32,42.5
50554,Plissee_20,0.33,79.4
37021,Rollo,0.33,20.0
32039,Rollo,0.33,99.5
3032,Reparatur,0.33,22.6
55033,Plissee_20,0.33,21.0
1940,Plissee_20,0.33,49.5
4113,Plissee_20,0.33,23.8
5136,Plissee_20,0.34,23.3
8876,Plissee_20,0.34,19.2
17461,Plissee_wa,0.34,20.2
67757,Plissee_20,0.34,20.0
30042,Plissee_20,0.34,8.0
35798,Plissee_20,0.34,17.5
73280,Plissee_20,0.34,18.5
5134,Rollo,0.34,168.5
37792,Plissee_20,0.34,23.1
65177,Plissee_20,0.34,16.0
15836,Plissee_20,0.34,30.2
50535,Plissee_20,0.35,130.7
